Investor Name,Fund Focus (Sectors),Fund Stage,Location
Sequoia Capital,Technology Software AI Fintech Healthcare,Seed Series A Series B,Silicon Valley
Andreessen Horowitz,Software AI Crypto Fintech,Seed Series A Series B,Silicon Valley
Y Combinator,Technology Software Consumer,Seed,Silicon Valley
Accel,Enterprise Software AI Consumer,Series A Series B,Global
First Round Capital,Technology Software Consumer,Seed Series A,New York
Kleiner Perkins,Technology Healthcare Climate,Series A Series B,Silicon Valley
Greylock Partners,Enterprise Software AI Consumer,Series A Series B,Silicon Valley
Index Ventures,Software Fintech Consumer,Series A Series B,Global
Benchmark,Software Consumer Marketplace,Series A Series B,Silicon Valley
NEA,Technology Healthcare Enterprise,Series A Series B Growth,Global
