Investor Name,Fund Stage,Fund Focus (Sectors),Location
406 Ventures,Seed,"Software, Cybersecurity, Healthcare",Boston
01 Advisors,"Pre-Seed, Seed, Series A","Blockchain, Entertainment, AI/ML","San Francisco, CA"
4/0 Capital,"Series A, Series B","Software, Mobile, SaaS",New York
1confirmation,Seed,"Blockchain, Info Tech",San Francisco
2.12 Angels,"Seed, Series A","Dev Tools, Prof Services","San Francisco, CA"
3ig Ventures,Seed,"Blockchain, E-Commerce",New York
3L Capital,"Seed, Series A, Series B, Series C","PropTech, Privacy, SaaS",Los Angeles
3Lines,Seed,"Climate, Software, Energy","Greenwood Village, CO"
3one4 Capital,"Seed, Series A, Series B","Mobile, EdTech, Sales Automation","Bangalore, India"
3VC,"Series A, Series B","Healthcare, AI/ML, Med Device","Vienna, Austria"
4BIO Capital,"Seed, Series A, Series B, Series C, Series D","Biotech, Healthcare, Med Device","London, UK"
4DX Ventures,"Pre-Seed, Seed, Series A","Apps, SpaceTech, IoT",Brooklyn
5AM Ventures,"Seed, Series A, Series B, Series C, Series D","Biotech, Life Science","Menlo Park, CA"
6th Man Ventures,"Pre-Seed, Seed","Blockchain, Software",New York
7BC Venture Capital,"Seed, Series A, Series B","AI/ML, Blockchain, FinTech, IoT",San Francisco
7percent Ventures,"Seed, Series A, Series B","AgTech, Food, Robotics","London, UK"
7thirty Capital,"Seed, Series A, Series B","AgTech, Cannabis, Supply Chain","Boulder, CO"
7wire Ventures,"Pre-Seed, Seed, Series A","Elder Care, Healthcare","Chicago, IL"
8VC,"Series A, Series B, Series C","Manufacturing, Climate, EdTech","Austin, San Francisco"
9Unicorns Accelerator Fund,"Seed, Series A","Consumer Electronics, Health","Mumbai, India"
9Yards Capital,"Series B, Series C, Series D","Manufacturing, B2B, FinTech",San Francisco
10Branch,Series B,"FinTech, Blockchain, AdTech",Portland
10T Holdings,"Series C, Series D",Blockchain,Greenwich
10X Capital,"Series B, Series C","Big Data, FinTech, Marketplace",New York
10x Group,"Seed, Series A, Series B","E-Commerce, Travel, FinTech","Munich, Germany"
10x Value Partners,"Seed, Series A",E-Commerce,"London, UK"
12/12 Ventures,"Seed, Series A, Series B","Cannabis, Info Tech",New York
14W,"Pre-Seed, Seed, Series A, Series B, Series C, Series D","AI/ML, SaaS, Fashion",Sausalito
40 North Ventures,"Pre-Seed, Seed, Series A","Software, Mobile, SaaS",New York
43North,"Seed, Series A, Series B","Events, FinTech, Marketplace",Buffalo
75 & Sunny,"Seed, Series A","Big Data, AdTech",Los Angeles
83North,"Seed, Series A, Series B","Big Data, Info Tech","London, UK"
111st West Capital,"Seed, Series A, Series B","Biotech, Pharma",Wyoming
13V Ventures,"Seed, Series A","Software, DeepTech",San Francisco
408 Ventures,"Pre-Seed, Seed, Series A","Software, Mobile, FinTech","Palo Alto, CA"
468 Capital,"Pre-Seed, Seed, Series A","Blockchain, Info Tech, AI/ML",San Francisco
500 Global,"Pre-Seed, Seed, Series A","AgTech, AudioTech, AI/ML","San Francisco, Brazil, India"
500 Startups,"Pre-Seed, Seed, Series A","FinTech, Blockchain, AI/ML",San Francisco
500 Startups Japan,"Seed, Series A","FinTech, SaaS, Sales Automation",San Francisco
ABRY Partners,"Seed, Series A, Series B","BioTech, Health & Wellness, Healthcare, GovTech, Apps, SaaS, Software, Entertainment & Media","Boston, Massachusetts"
ABS Capital Partners,"Pre-Seed, Seed, Series A, Series B, Series C, Series D","Advertising (AdTech), Big Data & Analytics, Marketing (MarTech), Software, Creator Economy, B2B","Baltimore, Maryland"
Abstract,"Pre-Seed, Seed","Collaboration, CRM, Productivity Tools, Software",San Francisco
Acacia Venture Partners,"Pre-Seed, Seed, Series A","Software, Mobile, SaaS, Consumer, FinTech","San Francisco, California"
Academy Investor Network,"Seed, Series A, Series B","Manufacturing, Artificial Intelligence & Machine Learning (AI/ML), ClimateTech & CleanTech, CloudTech",New York
Accel India,"Seed, Series A, Series B, Series C, Series D","PropTech, Artificial Intelligence & Machine Learning (AI/ML), Software, FinTech","Bangalore, India"
"AccelFoods, LLC","Pre-Seed, Seed, Series A","Software, Mobile, SaaS, Consumer, FinTech",New York
Accelmed,"Pre-Seed, Seed, Series A, Series B, Series C, Series D","Cybersecurity, Healthcare, Information Technology, Medical Device","Aventura, Florida"
Access Venture Partners,"Seed, Series A","E-Commerce, Cryptocurrency / Blockchain, PropTech, SaaS, Marketplace, B2B, B2C",Denver
Access Ventures,"Pre-Seed, Seed, Series A","Cryptocurrency / Blockchain, Mobile, FinTech, Apps, InsurTech","Louisville, Kentucky"
Accomplice,"Pre-Seed, Seed, Series A","Travel, Computer, Cybersecurity, SaaS, Big Data & Analytics, Software, Consumer, Market Research","Cambridge, Massachusetts"
Acquia Capital (AceCap),"Seed, Series A","CloudTech, Software, Big Data & Analytics, Marketing (MarTech), Sales Automation, Hardware","Seattle, Washington"
Acero Capital,"Pre-Seed, Seed, Series A, Series B, Series C, Series D","Software, Mobile, SaaS, Consumer, FinTech","Menlo Park, California"
ACME Capital,"Pre-Seed, Seed, Series A","E-Sports (Gaming), Software, Artificial Intelligence & Machine Learning (AI/ML), Information Technology","San Francisco, California"
Acre Venture Partners,"Pre-Seed, Seed, Series A, Series B, Series C, Series D","B2B, E-Commerce, Enterprise, Food and Beverage, ClimateTech & CleanTech, SaaS, Software","Santa Monica, California"
Acrew Capital,"Seed, Series A","Artificial Intelligence & Machine Learning (AI/ML), FinTech, Big Data & Analytics, Cybersecurity, E-Commerce",Palo Alto
Acronym Venture Capital,"Seed, Series A","Enterprise, SaaS, FinTech, PropTech, E-Commerce, Consumer, D2C",New York
Act One Ventures,Seed,"Cannabis, Computer, Hardware, RetailTech, Software, Information Technology, SaaS, Advertising",Los Angeles
Act Venture Capital,"Seed, Series A, Series B, Series C, Series D","Healthcare, Health & Wellness","Dublin, Ireland"
Activant Capital,"Series B, Series C","Artificial Intelligence & Machine Learning (AI/ML), E-Commerce",Greenwich
Activate Capital Partners,"Series B, Series C, Series D","Energy, Oil & Gas, ClimateTech & CleanTech, PropTech, Enterprise, GovTech, Big Data & Analytics","San Francisco, California"
Activate Venture Partners,"Seed, Series A, Series B","Artificial Intelligence & Machine Learning (AI/ML), Healthcare, Health & Wellness, Big Data & Analytics",New York
Active Capital,"Pre-Seed, Seed","CloudTech, Artificial Intelligence & Machine Learning (AI/ML), SaaS, Telecommunications",San Antonio
Active Impact Investments,"Seed, Series A","ClimateTech & CleanTech, Software","North Vancouver, Canada"
640 Oxford Ventures,"Seed, Series A, Series B","Consumer, B2B",New York
645 Ventures,"Seed, Series A","SaaS, Infrastructure, Consumer","NYC, San Francisco"
840 Venture Partners,"Series A, Series B, Series C","FinTech, Future of Work, Big Data & Analytics",NYC
1414 Ventures,"Pre-Seed, Seed","Cybersecurity, FinTech, Software",Boston
1517 Fund,"Pre-Seed, Seed, Series A","Hardware, Manufacturing, Software, AI/ML, E-Commerce","San Francisco, California"
1809 Capital,"Series B, Series C, Series D",Healthcare,Oxford
1843 Capital,"Seed, Series A, Series B","Elder Care, HR Tech, Healthcare, Info Tech","Greenwich, Connecticut"
1863 Ventures,"Pre-Seed, Seed","Beauty, Healthcare, E-Commerce, EdTech, FinTech, HR Tech",Washington
1984 Ventures,"Seed, Series A, Series B","PropTech, Info Tech, Mobile, SaaS, Software, HR Tech",San Francisco
2048 Ventures,"Seed, Series A, Series B","AI/ML, E-Commerce, Marketplace, RetailTech",New York
8090 Partners,"Pre-Seed, Seed, Series A","Software, Mobile, SaaS, Consumer, FinTech",New York
A Capital,"Seed, Series A","Consumer, Enterprise, Software","Menlo Park, San Francisco"
A-Level Capital,Seed,"Software, Mobile, SaaS, Consumer, FinTech","Baltimore, Maryland"
A. M. Pappas & Associates,"Pre-Seed, Seed, Series A","Software, Mobile, SaaS, Consumer, FinTech","Durham, North Carolina"
A.Capital Ventures,"Seed, Series A, Series B","AI/ML, Robotics, Software, Big Data & Analytics",Menlo Park
A’Z Angels,"Pre-Seed, Seed, Series A","Software, Mobile, SaaS, Consumer, FinTech","San Francisco, California"
A* Capital,"Seed, Series A, Series B, Series C, Series D","FinTech, SaaS, Crypto, AdTech, Big Data",San Francisco
AAF Management Ltd.,"Pre-Seed, Seed, Series A","AdTech, Big Data & Analytics, MarTech, Software, Healthcare","Arlington, Virginia"
ABB,"Series C, Series D","CloudTech, Hardware, Info Tech, IoT, Software","Zurich, Switzerland"
AbbVie,"Series C, Series D, Series B","BioTech, Healthcare","Chicago, Illinois"
AbCellera Biologics,"Series B, Series C, Series D","BioTech, PetTech","Vancouver, Canada"
Aberdare Ventures,"Pre-Seed, Seed, Series A, Series B, Series C, Series D","Healthcare, InsurTech","San Francisco, California"
Abingworth,"Seed, Series A, Series B, Series C, Series D","BioTech, Healthcare, Medical Device","London, United Kingdom"
Sequoia Capital,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Benchmark Capital,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #19,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
